Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,2,10637296,2,60,0.010598421096801758,17,29,12,17,17,19,2,17,0.5,uniform,False
2,96372106,2,10637297,2,60,0.01013946533203125,12,23,11,12,12,12,0,12,0.5,uniform,False
3,96372106,2,10637298,2,60,0.23970651626586914,22,38,16,22,22,22,0,22,0.5,uniform,False
4,96372106,2,10637299,2,60,0.041680335998535156,19,29,10,19,19,21,2,19,0.5,uniform,False
5,96372106,2,10637300,2,60,0.007626533508300781,16,28,12,16,16,16,0,16,0.5,uniform,False
6,96372106,2,10637301,2,60,0.006780147552490234,14,22,8,14,14,16,2,14,0.5,uniform,False
7,96372106,2,10637302,2,60,0.022565364837646484,20,34,14,20,20,24,4,20,0.5,uniform,False
8,96372106,2,10637303,2,60,0.006592512130737305,14,26,12,14,14,16,2,14,0.5,uniform,False
9,96372106,2,10637304,2,60,0.031026840209960938,19,29,10,19,19,19,0,19,0.5,uniform,False
10,96372106,2,10637305,2,60,0.037656545639038086,20,32,12,20,20,20,0,20,0.5,uniform,False
11,96372106,2,10637306,2,60,0.0032587051391601562,7,12,5,7,7,11,4,7,0.5,uniform,False
12,96372106,2,10637307,2,60,0.006861448287963867,17,31,14,17,17,17,0,17,0.5,uniform,False
13,96372106,2,10637308,2,60,0.006420612335205078,11,19,8,11,11,12,1,11,0.5,uniform,False
14,96372106,2,10637309,2,60,0.01854538917541504,21,34,13,21,21,21,0,21,0.5,uniform,False
15,96372106,2,10637310,2,60,0.00694584846496582,15,24,9,15,15,17,2,15,0.5,uniform,False
16,96372106,2,10637311,2,60,0.0039730072021484375,11,16,5,11,11,12,1,11,0.5,uniform,False
17,96372106,2,10637312,2,60,0.006048679351806641,10,20,10,10,10,10,0,10,0.5,uniform,False
18,96372106,2,10637313,2,60,0.007875919342041016,17,31,14,17,17,17,0,17,0.5,uniform,False
19,96372106,2,10637314,2,60,0.0250704288482666,17,26,9,17,17,17,0,17,0.5,uniform,False
20,96372106,2,10637315,2,60,0.005429744720458984,10,20,10,10,10,12,2,10,0.5,uniform,False
21,96372106,2,10637316,2,60,0.0064084529876708984,21,32,11,21,21,22,1,21,0.5,uniform,False
22,96372106,2,10637317,2,60,0.006041288375854492,13,22,9,13,13,13,0,13,0.5,uniform,False
23,96372106,2,10637318,2,60,0.006449222564697266,12,22,10,12,12,13,1,12,0.5,uniform,False
24,96372106,2,10637319,2,60,0.00651097297668457,16,33,17,16,16,20,4,16,0.5,uniform,False
25,96372106,2,10637320,2,60,0.0038504600524902344,7,13,6,7,7,7,0,7,0.5,uniform,False
26,96372106,2,10637321,2,60,0.0057430267333984375,15,26,11,15,15,16,1,15,0.5,uniform,False
27,96372106,2,10637322,2,60,0.007911920547485352,9,11,2,9,9,9,0,9,0.5,uniform,False
28,96372106,2,10637323,2,60,0.019626855850219727,19,34,15,19,19,21,2,19,0.5,uniform,False
29,96372106,2,10637324,2,60,0.0050694942474365234,5,9,4,5,5,6,1,5,0.5,uniform,False
30,96372106,2,10637325,2,60,0.01161503791809082,10,19,9,10,10,12,2,10,0.5,uniform,False
31,96372106,2,10637326,2,60,0.006945610046386719,15,21,6,15,15,15,0,15,0.5,uniform,False
32,96372106,2,10637327,2,60,0.010377883911132812,14,20,6,14,14,16,2,14,0.5,uniform,False
33,96372106,2,10637328,2,60,0.01625847816467285,17,23,6,17,17,21,4,17,0.5,uniform,False
34,96372106,2,10637329,2,60,0.003635406494140625,10,13,3,10,10,13,3,10,0.5,uniform,False
35,96372106,2,10637330,2,60,0.0035257339477539062,7,12,5,7,7,9,2,7,0.5,uniform,False
36,96372106,2,10637331,2,60,0.008168220520019531,16,28,12,16,16,18,2,16,0.5,uniform,False
37,96372106,2,10637332,2,60,0.008562564849853516,10,16,6,10,10,10,0,10,0.5,uniform,False
38,96372106,2,10637333,2,60,0.00554347038269043,12,22,10,12,12,12,0,12,0.5,uniform,False
39,96372106,2,10637334,2,60,0.005593299865722656,13,24,11,13,13,19,6,13,0.5,uniform,False
40,96372106,2,10637335,2,60,0.001691579818725586,2,3,1,2,2,2,0,2,0.5,uniform,False
41,96372106,2,10637336,2,60,0.008556842803955078,19,30,11,19,19,22,3,19,0.5,uniform,False
42,96372106,2,10637337,2,60,0.06135678291320801,17,27,10,17,17,22,5,17,0.5,uniform,False
43,96372106,2,10637338,2,60,0.0312647819519043,19,27,8,19,19,19,0,19,0.5,uniform,False
44,96372106,2,10637339,2,60,0.10555863380432129,11,19,8,11,11,12,1,11,0.5,uniform,False
45,96372106,2,10637340,2,60,0.010298967361450195,16,27,11,16,16,20,4,16,0.5,uniform,False
46,96372106,2,10637341,2,60,0.004306316375732422,13,20,7,13,13,18,5,13,0.5,uniform,False
47,96372106,2,10637342,2,60,0.0030634403228759766,10,14,4,10,10,11,1,10,0.5,uniform,False
48,96372106,2,10637343,2,60,0.006118297576904297,12,23,11,12,12,14,2,12,0.5,uniform,False
49,96372106,2,10637344,2,60,0.006740570068359375,15,28,13,15,15,15,0,15,0.5,uniform,False
50,96372106,2,10637345,2,60,0.03608441352844238,19,37,18,19,19,23,4,19,0.5,uniform,False
