Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Communication
1,96372106,6,10637296,1,60,0.02092599868774414,37,52,15,37,38,38,0,38,0.5,uniform,True
2,96372106,6,10637297,1,60,0.14164400100708008,37,45,8,37,36,36,0,36,0.5,uniform,True
3,96372106,6,10637298,1,60,0.05683445930480957,41,47,6,41,41,41,0,41,0.5,uniform,True
4,96372106,6,10637299,1,60,1.2017850875854492,47,63,16,47,45,45,0,45,0.5,uniform,True
5,96372106,6,10637300,1,60,0.7869250774383545,54,66,12,54,54,59,5,54,0.5,uniform,True
6,96372106,6,10637301,1,60,0.040889739990234375,32,46,14,32,32,35,3,32,0.5,uniform,True
7,96372106,6,10637302,1,60,0.16154861450195312,52,72,20,52,51,54,3,51,0.5,uniform,True
8,96372106,6,10637303,1,60,0.012964725494384766,32,41,9,32,32,33,1,32,0.5,uniform,True
9,96372106,6,10637304,1,60,0.033889055252075195,33,45,12,33,32,36,4,32,0.5,uniform,True
10,96372106,6,10637305,1,60,0.24132943153381348,40,52,12,40,40,42,2,40,0.5,uniform,True
11,96372106,6,10637306,1,60,0.12366747856140137,40,54,14,40,39,41,2,39,0.5,uniform,True
12,96372106,6,10637307,1,60,0.10970497131347656,44,62,18,44,45,49,4,45,0.5,uniform,True
13,96372106,6,10637308,1,60,0.14862275123596191,44,55,11,44,45,47,2,45,0.5,uniform,True
14,96372106,6,10637309,1,60,0.052838802337646484,33,47,14,33,34,35,1,34,0.5,uniform,True
15,96372106,6,10637310,1,60,3.4996330738067627,51,65,14,51,50,53,3,50,0.5,uniform,True
16,96372106,6,10637311,1,60,0.018949031829833984,42,56,14,42,42,43,1,42,0.5,uniform,True
17,96372106,6,10637312,1,60,0.04288530349731445,33,44,11,33,33,36,3,33,0.5,uniform,True
18,96372106,6,10637313,1,60,0.12367033958435059,42,55,13,42,42,46,4,42,0.5,uniform,True
19,96372106,6,10637314,1,60,0.29520535469055176,46,59,13,46,44,50,6,44,0.5,uniform,True
20,96372106,6,10637315,1,60,0.028947830200195312,46,66,20,46,46,51,5,46,0.5,uniform,True
21,96372106,6,10637316,1,60,1.6486015319824219,53,73,20,53,55,60,5,55,0.5,uniform,True
22,96372106,6,10637317,1,60,0.026929616928100586,39,51,12,39,39,40,1,39,0.5,uniform,True
23,96372106,6,10637318,1,60,0.04089069366455078,27,36,9,27,27,32,5,27,0.5,uniform,True
24,96372106,6,10637319,1,60,0.1625664234161377,51,65,14,51,50,52,2,50,0.5,uniform,True
25,96372106,6,10637320,1,60,0.011967897415161133,30,39,9,30,30,32,2,30,0.5,uniform,True
26,96372106,6,10637321,1,60,0.02892303466796875,32,44,12,32,33,36,3,33,0.5,uniform,True
27,96372106,6,10637322,1,60,0.1954786777496338,39,48,9,39,38,39,1,38,0.5,uniform,True
28,96372106,6,10637323,1,60,0.02593064308166504,37,49,12,37,37,38,1,37,0.5,uniform,True
29,96372106,6,10637324,1,60,0.014960050582885742,35,45,10,35,35,36,1,35,0.5,uniform,True
30,96372106,6,10637325,1,60,0.019946813583374023,34,48,14,34,33,35,2,33,0.5,uniform,True
31,96372106,6,10637326,1,60,0.1406235694885254,48,62,14,48,47,48,1,47,0.5,uniform,True
32,96372106,6,10637327,1,60,0.13463997840881348,42,55,13,42,41,42,1,41,0.5,uniform,True
33,96372106,6,10637328,1,60,0.039893388748168945,46,60,14,46,46,48,2,46,0.5,uniform,True
34,96372106,6,10637329,1,60,0.23038506507873535,44,56,12,44,44,45,1,44,0.5,uniform,True
35,96372106,6,10637330,1,60,0.029919862747192383,36,51,15,36,36,37,1,36,0.5,uniform,True
36,96372106,6,10637331,1,60,0.04587721824645996,29,38,9,29,29,32,3,29,0.5,uniform,True
37,96372106,6,10637332,1,60,0.016954660415649414,32,45,13,32,32,35,3,32,0.5,uniform,True
38,96372106,6,10637333,1,60,0.18550395965576172,40,48,8,40,40,42,2,40,0.5,uniform,True
39,96372106,6,10637334,1,60,0.02991962432861328,40,56,16,40,39,42,3,39,0.5,uniform,True
40,96372106,6,10637335,1,60,0.012965202331542969,22,27,5,22,22,22,0,22,0.5,uniform,True
41,96372106,6,10637336,1,60,0.2124330997467041,56,70,14,56,57,59,2,57,0.5,uniform,True
42,96372106,6,10637337,1,60,0.02892279624938965,34,44,10,34,32,33,1,32,0.5,uniform,True
43,96372106,6,10637338,1,60,0.13267111778259277,44,55,11,44,45,48,3,45,0.5,uniform,True
44,96372106,6,10637339,1,60,1.7782766819000244,44,58,14,44,42,42,0,42,0.5,uniform,True
45,96372106,6,10637340,1,60,0.03291177749633789,35,46,11,35,35,38,3,35,0.5,uniform,True
46,96372106,6,10637341,1,60,0.01994633674621582,37,49,12,37,34,39,5,34,0.5,uniform,True
47,96372106,6,10637342,1,60,0.03012251853942871,34,42,8,34,34,35,1,34,0.5,uniform,True
48,96372106,6,10637343,1,60,0.010969877243041992,32,41,9,32,32,34,2,32,0.5,uniform,True
49,96372106,6,10637344,1,60,0.13363146781921387,37,50,13,37,36,38,2,36,0.5,uniform,True
50,96372106,6,10637345,1,60,0.0937495231628418,53,69,16,53,53,54,1,53,0.5,uniform,True
