Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,2,10637296,1,60,0.0005025863647460938,0.0006716251373291016,14,23,9,20,14,23,9,20,0.0,uniform,Min Worst Case,False
2,96372106,2,10637297,1,60,0.0004069805145263672,0.0005521774291992188,12,15,3,14,12,15,3,14,0.0,uniform,Min Worst Case,False
3,96372106,2,10637298,1,60,0.0015780925750732422,0.0006594657897949219,20,26,6,24,20,26,6,24,0.0,uniform,Min Worst Case,False
4,96372106,2,10637299,1,60,0.0031735897064208984,0.0006992816925048828,16,22,6,22,16,22,6,22,0.0,uniform,Min Worst Case,False
5,96372106,2,10637300,1,60,0.000499725341796875,0.000705718994140625,15,18,3,18,15,18,3,18,0.0,uniform,Min Worst Case,False
6,96372106,2,10637301,1,60,0.0004172325134277344,0.0005657672882080078,11,19,8,15,11,19,8,15,0.0,uniform,Min Worst Case,False
7,96372106,2,10637302,1,60,0.0038979053497314453,0.00077056884765625,18,25,7,20,18,25,7,20,0.0,uniform,Min Worst Case,False
8,96372106,2,10637303,1,60,0.0004935264587402344,0.0005476474761962891,13,18,5,18,13,18,5,18,0.0,uniform,Min Worst Case,False
9,96372106,2,10637304,1,60,0.002872943878173828,0.0006055831909179688,15,22,7,18,15,22,7,18,0.0,uniform,Min Worst Case,False
10,96372106,2,10637305,1,60,0.0011696815490722656,0.0006096363067626953,16,23,7,20,16,23,7,20,0.0,uniform,Min Worst Case,False
11,96372106,2,10637306,1,60,0.0002911090850830078,0.0004343986511230469,6,12,6,9,6,12,6,9,0.0,uniform,Min Worst Case,False
12,96372106,2,10637307,1,60,0.0005292892456054688,0.00057220458984375,14,25,11,20,14,25,11,20,0.0,uniform,Min Worst Case,False
13,96372106,2,10637308,1,60,0.00043487548828125,0.0006260871887207031,11,17,6,14,11,17,6,14,0.0,uniform,Min Worst Case,False
14,96372106,2,10637309,1,60,0.0025451183319091797,0.0006566047668457031,18,27,9,19,18,27,9,19,0.0,uniform,Min Worst Case,False
15,96372106,2,10637310,1,60,0.0005445480346679688,0.0006456375122070312,13,23,10,17,13,23,10,17,0.0,uniform,Min Worst Case,False
16,96372106,2,10637311,1,60,0.00031948089599609375,0.00037789344787597656,9,12,3,10,9,12,3,10,0.0,uniform,Min Worst Case,False
17,96372106,2,10637312,1,60,0.00039577484130859375,0.0005526542663574219,10,14,4,11,10,14,4,11,0.0,uniform,Min Worst Case,False
18,96372106,2,10637313,1,60,0.0004947185516357422,0.0005867481231689453,14,21,7,16,14,21,7,16,0.0,uniform,Min Worst Case,False
19,96372106,2,10637314,1,60,0.0038530826568603516,0.0005822181701660156,16,20,4,17,16,20,4,17,0.0,uniform,Min Worst Case,False
20,96372106,2,10637315,1,60,0.00036454200744628906,0.0004925727844238281,10,17,7,15,10,17,7,15,0.0,uniform,Min Worst Case,False
21,96372106,2,10637316,1,60,0.0005819797515869141,0.0006778240203857422,16,27,11,24,16,27,11,24,0.0,uniform,Min Worst Case,False
22,96372106,2,10637317,1,60,0.0003905296325683594,0.0005373954772949219,12,16,4,14,12,16,4,14,0.0,uniform,Min Worst Case,False
23,96372106,2,10637318,1,60,0.0003936290740966797,0.0005910396575927734,10,15,5,14,10,15,5,14,0.0,uniform,Min Worst Case,False
24,96372106,2,10637319,1,60,0.0005271434783935547,0.0006024837493896484,16,24,8,20,16,24,8,20,0.0,uniform,Min Worst Case,False
25,96372106,2,10637320,1,60,0.0002963542938232422,0.0004820823669433594,7,10,3,9,7,10,3,9,0.0,uniform,Min Worst Case,False
26,96372106,2,10637321,1,60,0.0003445148468017578,0.0004608631134033203,13,15,2,13,13,15,2,13,0.0,uniform,Min Worst Case,False
27,96372106,2,10637322,1,60,0.0006814002990722656,0.00048732757568359375,8,10,2,10,8,10,2,10,0.0,uniform,Min Worst Case,False
28,96372106,2,10637323,1,60,0.0006210803985595703,0.0008873939514160156,18,24,6,20,18,24,6,20,0.0,uniform,Min Worst Case,False
29,96372106,2,10637324,1,60,0.00021266937255859375,0.0003681182861328125,5,6,1,6,5,6,1,6,0.0,uniform,Min Worst Case,False
30,96372106,2,10637325,1,60,0.0004558563232421875,0.0005800724029541016,10,17,7,13,10,17,7,13,0.0,uniform,Min Worst Case,False
31,96372106,2,10637326,1,60,0.00046253204345703125,0.0005624294281005859,12,16,4,15,12,16,4,15,0.0,uniform,Min Worst Case,False
32,96372106,2,10637327,1,60,0.0008893013000488281,0.0004897117614746094,11,15,4,11,11,15,4,11,0.0,uniform,Min Worst Case,False
33,96372106,2,10637328,1,60,0.0009593963623046875,0.0005435943603515625,12,18,6,14,12,18,6,14,0.0,uniform,Min Worst Case,False
34,96372106,2,10637329,1,60,0.00029397010803222656,0.00043511390686035156,7,13,6,11,7,13,6,11,0.0,uniform,Min Worst Case,False
35,96372106,2,10637330,1,60,0.00025153160095214844,0.00035309791564941406,7,8,1,7,7,8,1,7,0.0,uniform,Min Worst Case,False
36,96372106,2,10637331,1,60,0.0004980564117431641,0.0005350112915039062,13,21,8,17,13,21,8,17,0.0,uniform,Min Worst Case,False
37,96372106,2,10637332,1,60,0.00036334991455078125,0.0004696846008300781,9,12,3,10,9,12,3,10,0.0,uniform,Min Worst Case,False
38,96372106,2,10637333,1,60,0.0003743171691894531,0.0005011558532714844,11,16,5,12,11,16,5,12,0.0,uniform,Min Worst Case,False
39,96372106,2,10637334,1,60,0.00038361549377441406,0.0005323886871337891,11,17,6,14,11,17,6,14,0.0,uniform,Min Worst Case,False
40,96372106,2,10637335,1,60,0.00012254714965820312,0.00021767616271972656,2,2,0,2,2,2,0,2,0.0,uniform,Min Worst Case,False
41,96372106,2,10637336,1,60,0.0005404949188232422,0.0006852149963378906,17,22,5,19,17,22,5,19,0.0,uniform,Min Worst Case,False
42,96372106,2,10637337,1,60,0.0017232894897460938,0.0005486011505126953,14,21,7,19,14,21,7,19,0.0,uniform,Min Worst Case,False
43,96372106,2,10637338,1,60,0.0013341903686523438,0.0007014274597167969,16,26,10,20,16,26,10,20,0.0,uniform,Min Worst Case,False
44,96372106,2,10637339,1,60,0.0030052661895751953,0.0005712509155273438,10,12,2,11,10,12,2,11,0.0,uniform,Min Worst Case,False
45,96372106,2,10637340,1,60,0.0004744529724121094,0.0005412101745605469,13,20,7,16,13,20,7,16,0.0,uniform,Min Worst Case,False
46,96372106,2,10637341,1,60,0.00047206878662109375,0.0009546279907226562,11,16,5,15,11,16,5,15,0.0,uniform,Min Worst Case,False
47,96372106,2,10637342,1,60,0.00024366378784179688,0.0006082057952880859,9,9,0,9,9,9,0,9,0.0,uniform,Min Worst Case,False
48,96372106,2,10637343,1,60,0.00038313865661621094,0.0005092620849609375,10,15,5,14,10,15,5,14,0.0,uniform,Min Worst Case,False
49,96372106,2,10637344,1,60,0.0005207061767578125,0.0005404949188232422,13,19,6,17,13,19,6,17,0.0,uniform,Min Worst Case,False
50,96372106,2,10637345,1,60,0.0012791156768798828,0.0007131099700927734,18,26,8,21,18,26,8,21,0.0,uniform,Min Worst Case,False
