Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,6,10637296,1,60,0.002816438674926758,0.00189208984375,38,52,14,38,38,52,14,38,0.0,min,Min Worst Case,False
2,96372106,6,10637297,1,60,0.01123952865600586,0.0017573833465576172,36,46,10,36,36,46,10,36,0.0,min,Min Worst Case,False
3,96372106,6,10637298,1,60,0.012468576431274414,0.0018568038940429688,41,46,5,41,41,46,5,41,0.0,min,Min Worst Case,False
4,96372106,6,10637299,1,60,0.03693342208862305,0.0021729469299316406,48,59,11,48,48,59,11,48,0.0,min,Min Worst Case,False
5,96372106,6,10637300,1,60,0.08128690719604492,0.002161264419555664,55,65,10,55,55,65,10,55,0.0,min,Min Worst Case,False
6,96372106,6,10637301,1,60,0.003787994384765625,0.0024237632751464844,32,46,14,32,32,46,14,32,0.0,min,Min Worst Case,False
7,96372106,6,10637302,1,60,0.02784895896911621,0.0024728775024414062,53,68,15,53,53,68,15,53,0.0,min,Min Worst Case,False
8,96372106,6,10637303,1,60,0.001527547836303711,0.0014138221740722656,32,41,9,32,32,41,9,32,0.0,min,Min Worst Case,False
9,96372106,6,10637304,1,60,0.0049877166748046875,0.0016913414001464844,33,45,12,33,33,45,12,33,0.0,min,Min Worst Case,False
10,96372106,6,10637305,1,60,0.058983564376831055,0.0016238689422607422,40,52,12,40,40,52,12,40,0.0,min,Min Worst Case,False
11,96372106,6,10637306,1,60,0.012749433517456055,0.0024039745330810547,39,52,13,39,39,52,13,39,0.0,min,Min Worst Case,False
12,96372106,6,10637307,1,60,0.01842784881591797,0.0020132064819335938,45,60,15,45,45,60,15,45,0.0,min,Min Worst Case,False
13,96372106,6,10637308,1,60,0.019595861434936523,0.0018634796142578125,45,58,13,45,45,58,13,45,0.0,min,Min Worst Case,False
14,96372106,6,10637309,1,60,0.007491588592529297,0.0017490386962890625,34,49,15,34,34,49,15,34,0.0,min,Min Worst Case,False
15,96372106,6,10637310,1,60,0.19124674797058105,0.0022971630096435547,51,65,14,51,51,65,14,51,0.0,min,Min Worst Case,False
16,96372106,6,10637311,1,60,0.0020580291748046875,0.0018529891967773438,42,56,14,42,42,56,14,42,0.0,min,Min Worst Case,False
17,96372106,6,10637312,1,60,0.007091045379638672,0.0015828609466552734,33,42,9,33,33,42,9,33,0.0,min,Min Worst Case,False
18,96372106,6,10637313,1,60,0.01628851890563965,0.00189971923828125,43,54,11,43,43,54,11,43,0.0,min,Min Worst Case,False
19,96372106,6,10637314,1,60,0.02278876304626465,0.0018112659454345703,46,61,15,46,46,61,15,46,0.0,min,Min Worst Case,False
20,96372106,6,10637315,1,60,0.004870891571044922,0.002115488052368164,46,65,19,46,46,65,19,46,0.0,min,Min Worst Case,False
21,96372106,6,10637316,1,60,0.32106781005859375,0.0021758079528808594,59,73,14,59,59,73,14,59,0.0,min,Min Worst Case,False
22,96372106,6,10637317,1,60,0.0033712387084960938,0.0016970634460449219,39,50,11,39,39,50,11,39,0.0,min,Min Worst Case,False
23,96372106,6,10637318,1,60,0.004117488861083984,0.0015833377838134766,27,36,9,27,27,36,9,27,0.0,min,Min Worst Case,False
24,96372106,6,10637319,1,60,0.03242850303649902,0.001990079879760742,51,65,14,51,51,65,14,51,0.0,min,Min Worst Case,False
25,96372106,6,10637320,1,60,0.0029075145721435547,0.0014948844909667969,30,39,9,30,30,39,9,30,0.0,min,Min Worst Case,False
26,96372106,6,10637321,1,60,0.007814645767211914,0.001332998275756836,33,42,9,33,33,42,9,33,0.0,min,Min Worst Case,False
27,96372106,6,10637322,1,60,0.023285865783691406,0.0018541812896728516,39,48,9,39,39,48,9,39,0.0,min,Min Worst Case,False
28,96372106,6,10637323,1,60,0.004086494445800781,0.0024254322052001953,37,49,12,37,37,49,12,37,0.0,min,Min Worst Case,False
29,96372106,6,10637324,1,60,0.002279043197631836,0.0014858245849609375,35,45,10,35,35,45,10,35,0.0,min,Min Worst Case,False
30,96372106,6,10637325,1,60,0.0030515193939208984,0.001855611801147461,34,47,13,34,34,47,13,34,0.0,min,Min Worst Case,False
31,96372106,6,10637326,1,60,0.02271413803100586,0.0020241737365722656,49,62,13,49,49,62,13,49,0.0,min,Min Worst Case,False
32,96372106,6,10637327,1,60,0.018094301223754883,0.0018045902252197266,40,55,15,40,40,55,15,40,0.0,min,Min Worst Case,False
33,96372106,6,10637328,1,60,0.0057680606842041016,0.0017514228820800781,46,60,14,46,46,60,14,46,0.0,min,Min Worst Case,False
34,96372106,6,10637329,1,60,0.032648563385009766,0.0020263195037841797,44,56,12,44,44,56,12,44,0.0,min,Min Worst Case,False
35,96372106,6,10637330,1,60,0.006526947021484375,0.001984119415283203,38,50,12,38,38,50,12,38,0.0,min,Min Worst Case,False
36,96372106,6,10637331,1,60,0.007656574249267578,0.0015749931335449219,29,38,9,29,29,38,9,29,0.0,min,Min Worst Case,False
37,96372106,6,10637332,1,60,0.003973245620727539,0.0014841556549072266,32,45,13,32,32,45,13,32,0.0,min,Min Worst Case,False
38,96372106,6,10637333,1,60,0.0425570011138916,0.0015730857849121094,40,48,8,40,40,48,8,40,0.0,min,Min Worst Case,False
39,96372106,6,10637334,1,60,0.003345966339111328,0.001600027084350586,40,56,16,40,40,56,16,40,0.0,min,Min Worst Case,False
40,96372106,6,10637335,1,60,0.0026352405548095703,0.0013606548309326172,22,27,5,22,22,27,5,22,0.0,min,Min Worst Case,False
41,96372106,6,10637336,1,60,0.037886857986450195,0.002259492874145508,56,71,15,56,56,71,15,56,0.0,min,Min Worst Case,False
42,96372106,6,10637337,1,60,0.0029714107513427734,0.0014100074768066406,32,44,12,32,32,44,12,32,0.0,min,Min Worst Case,False
43,96372106,6,10637338,1,60,0.014963865280151367,0.002043008804321289,43,56,13,43,43,56,13,43,0.0,min,Min Worst Case,False
44,96372106,6,10637339,1,60,0.40506744384765625,0.0021851062774658203,47,59,12,47,47,59,12,47,0.0,min,Min Worst Case,False
45,96372106,6,10637340,1,60,0.007311582565307617,0.0022640228271484375,35,46,11,35,35,46,11,35,0.0,min,Min Worst Case,False
46,96372106,6,10637341,1,60,0.0048182010650634766,0.0018315315246582031,37,50,13,37,37,50,13,37,0.0,min,Min Worst Case,False
47,96372106,6,10637342,1,60,0.005954742431640625,0.0015745162963867188,34,42,8,34,34,42,8,34,0.0,min,Min Worst Case,False
48,96372106,6,10637343,1,60,0.002172708511352539,0.0014276504516601562,32,41,9,32,32,41,9,32,0.0,min,Min Worst Case,False
49,96372106,6,10637344,1,60,0.01194906234741211,0.0016551017761230469,37,50,13,37,37,50,13,37,0.0,min,Min Worst Case,False
50,96372106,6,10637345,1,60,0.023250102996826172,0.002087116241455078,53,68,15,53,53,68,15,53,0.0,min,Min Worst Case,False
