Experiment Number,Map Seed,Number of Agents,Agents Seed,Uncertainty,Timeout,initial time,octu Time,initial Min Cost,initial Max Cost,initial uncertainty,initial true cost,octu Min Cost,octu Max Cost,octu uncertainty,final true cost,Sensing Probability,Distribution,Objective,Communication
1,96372106,3,10637296,1,60,0.005984306335449219,0.011139631271362305,123,160,37,123,123,160,37,123,0.0,min,Min Best Case,False
2,96372106,3,10637297,1,60,0.00498652458190918,0.007242679595947266,140,168,28,140,140,168,28,140,0.0,min,Min Best Case,False
3,96372106,3,10637298,1,60,0.003976106643676758,0.007157802581787109,109,143,34,109,109,143,34,109,0.0,min,Min Best Case,False
4,96372106,3,10637299,1,60,0.007978439331054688,0.005046367645263672,96,125,29,96,96,125,29,96,0.0,min,Min Best Case,False
5,96372106,3,10637300,1,60,0.004986286163330078,0.005662679672241211,143,178,35,143,143,178,35,143,0.0,min,Min Best Case,False
6,96372106,3,10637301,1,60,0.004987478256225586,0.009973287582397461,122,152,30,122,122,152,30,122,0.0,min,Min Best Case,False
7,96372106,3,10637302,1,60,0.002991914749145508,0.003951549530029297,69,95,26,69,69,95,26,69,0.0,min,Min Best Case,False
8,96372106,3,10637303,1,60,0.004987239837646484,0.0037903785705566406,63,76,13,63,63,76,13,63,0.0,min,Min Best Case,False
9,96372106,3,10637304,1,60,0.0029861927032470703,0.003182649612426758,74,91,17,74,74,91,17,74,0.0,min,Min Best Case,False
10,96372106,3,10637305,1,60,0.004986286163330078,0.0049898624420166016,119,153,34,119,119,153,34,119,0.0,min,Min Best Case,False
11,96372106,3,10637306,1,60,0.003036022186279297,0.0039048194885253906,69,85,16,69,69,85,16,69,0.0,min,Min Best Case,False
12,96372106,3,10637307,1,60,0.004026651382446289,0.006023883819580078,122,149,27,122,122,149,27,122,0.0,min,Min Best Case,False
13,96372106,3,10637308,1,60,0.028622150421142578,0.013904094696044922,165,214,49,165,165,214,49,165,0.0,min,Min Best Case,False
14,96372106,3,10637309,1,60,0.0019948482513427734,0.0020279884338378906,42,58,16,42,42,58,16,42,0.0,min,Min Best Case,False
15,96372106,3,10637310,1,60,0.44223618507385254,0.0067102909088134766,140,175,35,140,140,175,35,140,0.0,min,Min Best Case,False
16,96372106,3,10637311,1,60,0.005894660949707031,0.005425214767456055,77,102,25,77,77,102,25,77,0.0,min,Min Best Case,False
17,96372106,3,10637312,1,60,0.3167712688446045,0.008646011352539062,170,216,46,170,170,216,46,170,0.0,min,Min Best Case,False
18,96372106,3,10637313,1,60,0.00586390495300293,0.00692439079284668,191,252,61,191,191,252,61,191,0.0,min,Min Best Case,False
19,96372106,3,10637314,1,60,0.0055446624755859375,0.008031606674194336,140,173,33,140,140,173,33,140,0.0,min,Min Best Case,False
20,96372106,3,10637315,1,60,0.002588987350463867,0.0030286312103271484,50,66,16,50,50,66,16,50,0.0,min,Min Best Case,False
21,96372106,3,10637316,1,60,0.005910396575927734,0.010183572769165039,175,225,50,175,175,225,50,175,0.0,min,Min Best Case,False
22,96372106,3,10637317,1,60,0.02218008041381836,0.008040666580200195,136,177,41,136,136,177,41,136,0.0,min,Min Best Case,False
23,96372106,3,10637318,1,60,0.004450321197509766,0.003998517990112305,83,103,20,83,83,103,20,83,0.0,min,Min Best Case,False
24,96372106,3,10637319,1,60,0.004311323165893555,0.0029358863830566406,72,90,18,72,72,90,18,72,0.0,min,Min Best Case,False
25,96372106,3,10637320,1,60,0.0062961578369140625,0.008201360702514648,135,174,39,135,135,174,39,135,0.0,min,Min Best Case,False
26,96372106,3,10637321,1,60,0.36960339546203613,0.009189367294311523,143,184,41,143,143,184,41,143,0.0,min,Min Best Case,False
27,96372106,3,10637322,1,60,0.003996610641479492,0.0060749053955078125,73,91,18,73,73,91,18,73,0.0,min,Min Best Case,False
28,96372106,3,10637323,1,60,0.00576329231262207,0.0077877044677734375,114,141,27,114,114,141,27,114,0.0,min,Min Best Case,False
29,96372106,3,10637324,1,60,14.61127495765686,0.006020784378051758,83,104,21,83,83,104,21,83,0.0,min,Min Best Case,False
30,96372106,3,10637325,1,60,0.0040264129638671875,0.004917144775390625,103,131,28,103,103,131,28,103,0.0,min,Min Best Case,False
31,96372106,3,10637326,1,60,0.0024034976959228516,0.003022432327270508,79,106,27,79,79,106,27,79,0.0,min,Min Best Case,False
32,96372106,3,10637327,1,60,0.02705693244934082,0.004949331283569336,95,113,18,95,95,113,18,95,0.0,min,Min Best Case,False
33,96372106,3,10637328,1,60,0.003988742828369141,0.006967782974243164,73,91,18,73,73,91,18,73,0.0,min,Min Best Case,False
34,96372106,3,10637329,1,60,0.009983539581298828,0.0054171085357666016,55,64,9,55,55,64,9,55,0.0,min,Min Best Case,False
35,96372106,3,10637330,1,60,0.04543781280517578,0.006981372833251953,87,111,24,87,87,111,24,87,0.0,min,Min Best Case,False
36,96372106,3,10637331,1,60,0.004091978073120117,0.006979942321777344,87,108,21,87,87,108,21,87,0.0,min,Min Best Case,False
37,96372106,3,10637332,1,60,0.00401759147644043,0.004019975662231445,76,98,22,76,76,98,22,76,0.0,min,Min Best Case,False
38,96372106,3,10637333,1,60,0.003953218460083008,0.0044097900390625,85,113,28,85,85,113,28,85,0.0,min,Min Best Case,False
39,96372106,3,10637334,1,60,0.08011722564697266,0.008568763732910156,118,145,27,118,118,145,27,118,0.0,min,Min Best Case,False
40,96372106,3,10637335,1,60,0.0029540061950683594,0.005943775177001953,90,119,29,90,90,119,29,90,0.0,min,Min Best Case,False
41,96372106,3,10637336,1,60,0.0029964447021484375,0.004986763000488281,97,123,26,97,97,123,26,97,0.0,min,Min Best Case,False
42,96372106,3,10637337,1,60,0.004099845886230469,0.006021022796630859,92,117,25,92,92,117,25,92,0.0,min,Min Best Case,False
43,96372106,3,10637338,1,60,0.006062507629394531,0.007008552551269531,116,149,33,116,116,149,33,116,0.0,min,Min Best Case,False
44,96372106,3,10637339,1,60,0.006974935531616211,0.0080108642578125,165,210,45,165,165,210,45,165,0.0,min,Min Best Case,False
45,96372106,3,10637340,1,60,0.002931356430053711,0.0028684139251708984,45,51,6,45,45,51,6,45,0.0,min,Min Best Case,False
46,96372106,3,10637341,1,60,0.05297398567199707,0.008921146392822266,166,214,48,166,166,214,48,166,0.0,min,Min Best Case,False
47,96372106,3,10637342,1,60,0.003974437713623047,0.004239320755004883,96,123,27,96,96,123,27,96,0.0,min,Min Best Case,False
48,96372106,3,10637343,1,60,0.003059864044189453,0.005987644195556641,86,107,21,86,86,107,21,86,0.0,min,Min Best Case,False
49,96372106,3,10637344,1,60,0.0049855709075927734,0.00801539421081543,104,135,31,104,104,135,31,104,0.0,min,Min Best Case,False
50,96372106,3,10637345,1,60,0.003981113433837891,0.005984306335449219,129,160,31,129,129,160,31,129,0.0,min,Min Best Case,False
